Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2000-06-14,57.54338455200195,59.527641785396554,57.29535239782762,58.96956745912428,5525600
2000-06-15,57.94642639160156,59.03156586292931,57.48136718371243,57.543373230676636,5634070
2000-06-16,56.17919158935547,58.380471222660894,56.17919158935547,57.6983850217785,8416325
2000-06-19,59.713619232177734,59.71361923217774,56.17916961850379,56.303185602777816,6337923
2000-06-20,57.72939682006836,59.868670668367834,57.23333263053356,59.52762752775244,7430575
2000-06-21,56.79927444458008,57.51236567713464,56.30321028997537,57.326339639778446,6785402
2000-06-22,55.46611785888672,56.706274618447104,55.18708070757467,56.61326355426306,5076343
2000-06-23,55.49711990356445,56.36522840128077,54.97005063672838,56.303222348055186,3515501
2000-06-26,56.75277328491211,57.41935709289621,55.99317446848059,56.0551844741122,3792691
2000-06-27,54.442955017089844,55.962152070254106,53.94689495512117,55.37307703533087,6911863
2000-06-28,56.44275665283203,57.14034572960012,54.50500657819123,54.56701264870446,6732684
2000-06-29,56.55124282836914,56.73726490848322,54.597991193376934,55.43509847140804,8042171
2000-06-30,54.349945068359375,56.14817519936611,53.88488602950083,55.9001431841405,9008780
2000-07-03,54.31896209716797,54.504988163379345,53.729886811890985,53.94691788226416,2410402
2000-07-05,52.08666229248047,52.396704328951145,50.16441591789233,52.396704328951145,14999222
2000-07-06,50.226436614990234,52.14868339932577,49.606356368630514,52.0866733953102,13527604
2000-07-07,52.117706298828125,52.117706298828125,50.41248569812915,50.939555179394354,9447158
2000-07-10,51.249576568603516,52.05567907490026,51.032549427534384,51.93166300018076,4405961
2000-07-11,50.59849166870117,51.59061623952687,50.10242740390846,51.21856804093233,5878311
2000-07-12,51.9006462097168,52.520722436492484,50.908517912861605,51.18755498604183,5805823
2000-07-13,51.5905876159668,52.55171060606118,50.5984635955927,52.30367861127827,5930506
2000-07-14,51.55960464477539,52.024663808193964,51.15655152239179,51.46658964508453,4204920
2000-07-17,52.334712982177734,53.51286363945754,51.6836315994093,51.80764370766635,6937804
2000-07-18,51.249576568603516,51.99367301692052,50.908533352814885,51.65262980113189,6749524
2000-07-19,53.946922302246094,54.31896654763225,50.102428151497755,50.78451454638543,8139344
2000-07-20,58.16345977783203,58.44249691621514,55.43511028270291,55.559126348788766,24108626
2000-07-21,56.923301696777344,58.03944230575205,56.42723744445098,58.03944230575205,9378854
2000-07-24,55.80715560913086,57.357354376051155,55.3731013795466,56.61325801782712,7127862
2000-07-25,55.559104919433594,56.24119104044277,54.6909927916667,56.17918501069566,5822977
2000-07-26,54.5049934387207,55.74515017886912,54.0089291591574,55.0630637738495,6977238
2000-07-27,54.722023010253906,55.311098378799954,54.22595870858144,54.50499586796221,4233580
2000-07-28,55.46611785888672,55.80716106673482,54.00893000455035,55.12507465103862,5601958
2000-07-31,55.68312454223633,56.39621570365887,54.59798530197265,54.81501235827369,5348721
2000-08-01,54.81503677368164,55.77616041576327,54.691020692162716,55.55913326279521,3134339
2000-08-02,56.67527389526367,56.985312097245526,54.93904887963742,55.06306495218215,6148283
2000-08-03,57.54338455200195,57.79141670617627,55.7141523634164,56.05519558571608,5823500
2000-08-04,57.48135757446289,57.79139567497299,56.70625638504969,57.54336361106146,4665683
2000-08-07,57.698394775390625,59.031566363396394,57.45036266791237,57.85341583225437,6182592
2000-08-08,59.03554153442383,59.408006006452915,57.39049308868715,57.452572482286534,6000588
2000-08-09,58.97348403930664,59.99775867650205,58.97348403930664,59.097638901074895,6888328
2000-08-10,59.47010040283203,59.71841011349359,58.53894096944622,58.973480981508914,5736369
