Price,Close,High,Low,Open,Volume
Ticker,DBK,DBK,DBK,DBK,DBK
Date,,,,,
2008-06-06,102.19999694824219,110.0,102.19999694824219,110.0,4747
2008-06-09,100.19999694824219,102.0,100.19999694824219,102.0,1035
2008-06-10,99.4000015258789,100.80000305175781,98.44999694824219,99.9000015258789,3043
2008-06-11,98.1500015258789,101.80000305175781,98.0,101.0,1351
2008-06-12,99.5,100.0999984741211,98.4000015258789,99.05000305175781,3007
2008-06-13,100.4000015258789,100.4000015258789,98.80000305175781,99.30000305175781,980
2008-06-16,98.8499984741211,100.9000015258789,98.8499984741211,100.9000015258789,1155
2008-06-17,101.80000305175781,102.9000015258789,101.80000305175781,102.9000015258789,2045
2008-06-18,98.55000305175781,101.4000015258789,98.55000305175781,101.4000015258789,640
2008-06-19,98.5,98.5,97.05000305175781,98.05000305175781,770
2008-06-20,94.6500015258789,97.69999694824219,94.0,97.69999694824219,1560
2008-06-23,94.5,95.75,94.19999694824219,95.75,4126
2008-06-24,92.19999694824219,94.0,91.80000305175781,94.0,1510
2008-06-25,96.55000305175781,96.55000305175781,93.75,93.75,9633
2008-06-26,92.5999984741211,93.30000305175781,92.5,93.0,775
2008-06-27,89.80000305175781,90.0,88.9000015258789,90.0,2065
2008-06-30,88.0,89.4000015258789,87.55000305175781,89.4000015258789,2796
2008-07-01,85.05000305175781,85.5,83.05000305175781,85.0,9815
2008-07-02,87.55000305175781,89.5,85.0,85.0,6275
2008-07-03,91.05000305175781,91.05000305175781,86.44999694824219,89.0,7604
2008-07-07,88.0,88.0,86.4000015258789,87.4000015258789,2220
2008-07-08,86.0,86.0,85.0,85.19999694824219,2872
2008-07-09,91.19999694824219,91.19999694824219,88.19999694824219,88.19999694824219,2790
2008-07-10,89.25,89.44999694824219,88.3499984741211,88.3499984741211,510
2008-07-11,87.5,87.5,87.5,87.5,30
2008-07-14,84.80000305175781,86.94999694824219,84.80000305175781,85.0,1882
2008-07-15,80.0,82.5,79.69999694824219,82.5,6490
2008-07-16,81.3499984741211,81.3499984741211,77.3499984741211,79.19999694824219,1412
2008-07-17,88.5999984741211,89.4000015258789,85.44999694824219,85.44999694824219,5620
2008-07-18,91.9000015258789,91.9000015258789,88.0,88.0,5080
2008-07-21,94.25,94.25,90.94999694824219,90.94999694824219,180
2008-07-22,90.1500015258789,91.0,89.5999984741211,91.0,2050
2008-07-23,99.1500015258789,99.1500015258789,94.69999694824219,94.69999694824219,1896
2008-07-24,99.8499984741211,99.94999694824219,98.25,99.94999694824219,1800
2008-07-25,95.6500015258789,96.0,94.4000015258789,94.69999694824219,1405
2008-07-28,95.94999694824219,95.94999694824219,95.69999694824219,95.69999694824219,450
2008-08-18,96.6500015258789,96.69999694824219,96.6500015258789,96.69999694824219,1100
2008-08-19,93.0,94.5,93.0,94.5,2050
2008-08-20,91.94999694824219,92.80000305175781,91.30000305175781,92.80000305175781,1680
2008-08-21,90.05000305175781,90.6500015258789,90.05000305175781,90.6500015258789,728
2008-08-22,91.3499984741211,91.5999984741211,90.9000015258789,91.5999984741211,1340
2008-08-25,93.0999984741211,93.0999984741211,92.6500015258789,92.6500015258789,425
2008-08-26,91.4000015258789,91.6500015258789,91.4000015258789,91.6500015258789,385
2008-08-27,92.05000305175781,92.05000305175781,90.94999694824219,91.0999984741211,960
2008-08-28,93.0999984741211,93.0999984741211,92.0,92.0,1694
2008-08-29,94.19999694824219,94.19999694824219,93.5,93.5,3150
2008-09-02,96.3499984741211,96.9000015258789,93.94999694824219,93.94999694824219,2204
2008-09-03,96.25,96.55000305175781,96.25,96.55000305175781,600
2008-09-04,92.30000305175781,94.9000015258789,92.30000305175781,94.80000305175781,2849
2008-09-05,89.0999984741211,91.0,89.0999984741211,91.0,759
2008-09-08,97.05000305175781,98.19999694824219,96.80000305175781,97.25,2955
2008-09-09,99.80000305175781,100.0,96.05000305175781,96.05000305175781,3118
2008-09-10,98.0,98.0,98.0,98.0,150
2008-09-11,92.5999984741211,95.55000305175781,92.5999984741211,94.0,3130
2008-09-12,92.5999984741211,95.69999694824219,90.5,95.69999694824219,1210
2008-09-15,85.6500015258789,88.0,83.5999984741211,88.0,2855
2008-09-16,82.0,83.0,80.0,83.0,4410
2008-09-17,79.5999984741211,86.1500015258789,79.5999984741211,84.5,11611
2008-09-18,80.0999984741211,84.0,80.0999984741211,76.25,1320
2008-09-19,96.0,99.5,90.0,97.0,4005
2008-09-22,88.19999694824219,93.80000305175781,88.19999694824219,93.80000305175781,430
2008-09-23,84.0,85.5,83.0,85.30000305175781,890
2008-09-24,87.05000305175781,87.30000305175781,85.1500015258789,87.19999694824219,1025
2008-09-25,87.69999694824219,89.0,87.55000305175781,87.69999694824219,2200
2008-09-26,85.05000305175781,88.0,84.4000015258789,88.0,3267
2008-09-29,78.5,84.30000305175781,78.19999694824219,84.30000305175781,2085
2008-09-30,74.30000305175781,78.25,74.30000305175781,76.0,4450
2008-10-01,77.0,79.1500015258789,76.5,78.4000015258789,5083
2008-10-02,78.69999694824219,80.5,78.69999694824219,80.44999694824219,705
2008-10-03,81.8499984741211,82.05000305175781,78.55000305175781,78.9000015258789,4577
2008-10-06,70.0,77.3499984741211,70.0,77.3499984741211,7588
2008-10-07,67.9000015258789,72.44999694824219,64.94999694824219,72.44999694824219,7213
2008-10-08,60.25,67.25,58.400001525878906,63.5,5296
2008-10-09,58.0,65.4000015258789,58.0,63.5,5653
2008-10-10,47.400001525878906,52.0,46.45000076293945,50.5,24744
2008-10-13,53.29999923706055,63.0,52.400001525878906,63.0,13313
2008-10-14,59.20000076293945,63.79999923706055,58.0,60.25,7877
2008-10-15,51.25,61.099998474121094,51.25,61.099998474121094,5535
2008-10-16,49.54999923706055,52.5,49.0,50.400001525878906,15205
2008-10-17,50.599998474121094,55.70000076293945,50.29999923706055,55.70000076293945,3438
2008-10-20,51.400001525878906,52.04999923706055,50.70000076293945,50.70000076293945,5460
2008-10-21,53.0,54.900001525878906,53.0,54.04999923706055,5500
2008-10-22,50.0,51.5,50.0,51.5,1520
2008-10-23,47.75,48.70000076293945,47.75,48.70000076293945,230
2008-10-24,43.45000076293945,46.75,42.849998474121094,46.75,8080
2008-10-27,37.75,38.29999923706055,37.0,38.20000076293945,11950
2008-10-28,35.54999923706055,38.0,34.349998474121094,38.0,11342
2008-10-29,36.0,37.20000076293945,35.0,36.099998474121094,9748
2008-10-30,42.599998474121094,43.79999923706055,39.5,39.75,8779
2008-10-31,43.75,44.0,42.400001525878906,42.79999923706055,8400
2008-11-03,46.04999923706055,47.20000076293945,43.75,43.75,6914
2008-11-04,54.0,54.0,48.79999923706055,48.79999923706055,5519
2008-11-05,52.20000076293945,54.650001525878906,51.45000076293945,54.650001525878906,7495
2008-11-06,46.099998474121094,48.150001525878906,45.150001525878906,47.900001525878906,2449
2008-11-07,44.79999923706055,45.349998474121094,43.0,44.95000076293945,2950
2008-11-10,46.0,47.70000076293945,46.0,47.25,1801
2008-11-11,41.0,43.0,41.0,42.75,2523
2008-11-12,37.0,42.29999923706055,37.0,42.29999923706055,3510
2008-11-13,37.0,38.099998474121094,36.5,37.54999923706055,3090
2008-11-14,37.650001525878906,39.79999923706055,37.650001525878906,39.79999923706055,2350
2008-11-17,36.0,38.0,36.0,38.0,3350
2008-11-18,35.04999923706055,36.29999923706055,34.75,36.29999923706055,1630
2008-11-19,33.25,34.25,33.25,34.04999923706055,5200
2008-11-20,29.0,30.799999237060547,29.0,30.799999237060547,11959
2014-11-03,30.079999923706055,30.079999923706055,30.079999923706055,30.079999923706055,260
2014-11-04,30.079999923706055,30.079999923706055,30.079999923706055,30.079999923706055,0
2014-11-05,30.079999923706055,30.079999923706055,30.079999923706055,30.079999923706055,0
2014-11-06,30.079999923706055,30.079999923706055,30.079999923706055,30.079999923706055,0
2014-11-07,29.729999542236328,29.729999542236328,29.729999542236328,29.729999542236328,1200
